FID	IID	Outcome	Mediator
FID 1	IID 5001	-11.436745646225091	-10.669590857412842
FID 2	IID 5002	2.6183936913181944	1.946886504671494
FID 3	IID 5003	10.585765667994185	5.800208735633763
FID 4	IID 5004	-13.16459940159465	-8.994113634333289
FID 5	IID 5005	2.6981068390815377	2.179371922463867
FID 6	IID 5006	4.556567132375765	2.0769552669553217
FID 7	IID 5007	4.961904241203834	5.831224157906704
FID 8	IID 5008	-13.741973392360881	-11.504554210421336
FID 9	IID 5009	8.015715632115834	3.7530157361677956
FID 10	IID 5010	-0.39705397440815293	-4.953490042387362
FID 11	IID 5011	-4.463813808979811	-1.1114062844275376
FID 12	IID 5012	-5.970434466133431	-2.5550389441895507
FID 13	IID 5013	-0.908219945476898	5.189642437908995
FID 14	IID 5014	7.074747600082561	8.938957537216627
FID 15	IID 5015	-0.5122733377442572	-8.65580081969841
FID 16	IID 5016	-10.71331672325748	-8.248849791980728
FID 17	IID 5017	-8.835792372853657	-2.3790141177769457
FID 18	IID 5018	-0.35760394562664555	3.6635861222533324
FID 19	IID 5019	13.177109843725674	10.401704402388322
FID 20	IID 5020	6.93237207552499	0.7604180089496024
FID 21	IID 5021	-7.2836481201632335	-10.3798724440989
FID 22	IID 5022	-7.037650144915966	-4.163005560996243
FID 23	IID 5023	-1.5342882185199387	0.49326499902859755
FID 24	IID 5024	2.2848203587798626	6.117625342487125
FID 25	IID 5025	-13.443895036261527	-9.52473201100416
FID 26	IID 5026	-3.8364774343683505	-6.769135976230558
FID 27	IID 5027	6.385986621566872	-1.7557926769604624
FID 28	IID 5028	-7.474276530757939	-4.282551392892403
FID 29	IID 5029	6.175178416086375	3.819401064433979
FID 30	IID 5030	13.889920139442053	1.0772494032058466
FID 31	IID 5031	-1.663897706569577	-1.2114490769965371
FID 32	IID 5032	14.429083862399507	7.859561649547187
FID 33	IID 5033	-2.4499106462221714	-4.910853121688252
FID 34	IID 5034	-4.970479147011059	-4.455470285989547
FID 35	IID 5035	6.847889281742343	4.628852356440926
FID 36	IID 5036	-16.070279817882486	-13.316197744147143
FID 37	IID 5037	11.404520787447794	9.176664323680889
FID 38	IID 5038	6.001269211390406	2.920372852572722
FID 39	IID 5039	9.476967620422927	-1.4733806317300693
FID 40	IID 5040	13.449529017735264	18.144760188590222
FID 41	IID 5041	-1.4928109899653428	-1.5808132837776077
FID 42	IID 5042	-11.870482847596206	-12.53552247558454
FID 43	IID 5043	10.027383945161455	7.004985325266259
FID 44	IID 5044	-6.515069682502212	2.0663523066544904
FID 45	IID 5045	-20.60929557490687	-20.349774437231318
FID 46	IID 5046	-8.160722809659152	-2.6184587208174688
FID 47	IID 5047	2.173205415926565	0.721201370825044
FID 48	IID 5048	4.854292494853782	5.089013626510168
FID 49	IID 5049	-1.8391549492427646	0.5702212678875442
FID 50	IID 5050	7.552537702704962	0.44060190224013285
FID 51	IID 5051	5.774659446431119	-1.8995099690494268
FID 52	IID 5052	-19.14289550961991	-9.56758731549094
FID 53	IID 5053	-2.034835967475225	-2.457980060798108
FID 54	IID 5054	9.905317067964386	8.663303737246224
FID 55	IID 5055	-11.464402389565013	-5.675594767044888
FID 56	IID 5056	-2.195821888762946	-5.328602508689896
FID 57	IID 5057	-9.068429322929576	-9.65797413047998
FID 58	IID 5058	13.858115718343686	8.38898429228548
FID 59	IID 5059	1.859433556170269	-2.8903638779011627
FID 60	IID 5060	26.09913218756336	17.39821366951006
FID 61	IID 5061	1.4591929585953691	2.329804512464767
FID 62	IID 5062	-0.5826527966559232	1.8733984424239498
FID 63	IID 5063	-9.703420637264296	-9.201443462671868
FID 64	IID 5064	30.810557790101047	19.602932201979396
FID 65	IID 5065	-1.55671780969943	-3.476408863188689
FID 66	IID 5066	9.088307118632187	4.236899894328287
FID 67	IID 5067	-9.447313597902536	-8.556842166085326
FID 68	IID 5068	-4.733816639140812	-0.2754005657338878
FID 69	IID 5069	4.6274446651960535	4.501545818965369
FID 70	IID 5070	3.2316787946109016	-1.7162353740586287
FID 71	IID 5071	6.166886403672784	12.143964491780523
FID 72	IID 5072	-3.397016272604629	-8.302238008940154
FID 73	IID 5073	13.370300612935488	7.127136137989388
FID 74	IID 5074	-23.291852979530372	-19.530373298117198
FID 75	IID 5075	10.372043747806103	5.613800708507489
FID 76	IID 5076	-0.7276916251443741	-0.858325002935608
FID 77	IID 5077	12.169139933188674	10.822167700047341
FID 78	IID 5078	8.701182697776332	3.468731472922482
FID 79	IID 5079	19.70034085937065	14.335011988395003
FID 80	IID 5080	6.579134025190626	5.966725521456078
FID 81	IID 5081	8.885631822512451	-0.2607127757249912
