	Some pheno 101	Some pheno 102	Some pheno 103	Some pheno 104	Some pheno 105	Some pheno 106	Some pheno 107	Some pheno 108	Some pheno 109	Some pheno 110
Some pheno 101	1.0	-0.5769207329634425	0.3396814107288237	0.5753765685683997	-0.20349035512561015	0.3353723624620705	0.06565013279645775	-0.09211311199536044	-0.4752856893238934	-0.04190754361889801
Some pheno 102	-0.5769207329634425	1.0000000000000002	-0.5312718489940312	-0.5622027382402086	0.4850473257789056	0.14949332697762355	0.047127454645336145	0.2540672839226475	0.2889715030348295	0.35657270056658047
Some pheno 103	0.3396814107288237	-0.5312718489940312	1.0	0.47411278881148194	-0.38802536932509624	-0.10364656503403938	-0.06786980065180792	-0.037975615116076285	0.15892696717436552	-0.3008421495036373
Some pheno 104	0.5753765685683997	-0.5622027382402086	0.47411278881148194	0.9999999999999999	-0.3340436840666263	0.22547063672395995	0.06085439965377938	-0.2179610147237503	-0.2777346400607641	-0.1861398904617248
Some pheno 105	-0.20349035512561015	0.4850473257789056	-0.38802536932509624	-0.3340436840666263	1.0	-0.12137241964207357	0.6062679566160835	0.6997834263484336	0.47859610936458075	0.7609062378330642
Some pheno 106	0.3353723624620705	0.14949332697762355	-0.10364656503403938	0.22547063672395995	-0.12137241964207357	1.0	-0.5816921726259131	-0.21883525947068175	-0.01822890529104477	0.1323482138011164
Some pheno 107	0.06565013279645775	0.047127454645336145	-0.06786980065180792	0.06085439965377938	0.6062679566160835	-0.5816921726259131	1.0000000000000002	0.40608659242643497	0.08458268110015624	0.25068396947902805
Some pheno 108	-0.09211311199536044	0.2540672839226475	-0.037975615116076285	-0.2179610147237503	0.6997834263484336	-0.21883525947068175	0.40608659242643497	1.0	0.3207335083393006	0.5377688452150712
Some pheno 109	-0.4752856893238934	0.2889715030348295	0.15892696717436552	-0.2777346400607641	0.47859610936458075	-0.01822890529104477	0.08458268110015624	0.3207335083393006	1.0	0.17406831086023905
Some pheno 110	-0.04190754361889801	0.35657270056658047	-0.3008421495036373	-0.1861398904617248	0.7609062378330642	0.1323482138011164	0.25068396947902805	0.5377688452150712	0.17406831086023905	1.0000000000000002
